DOI,Source,Latitude,Longitude,Province,Pollution_Type,SoilpH,pH,OC_pct,Sum_PAH_ngg,BaP_ngg,SumOCP_ngg,SumDDTs_ngg,SumPCB_ngg,SumHCHs_ngg,SumPAE_ugkg,SumPBDE_ngg,SumPFAS_ngg,TPH_ngg,HMWPAH_ngg,LMWPAH_ngg,标签_生产,标签_生态,标签,id_DOI,id_Source,split_source,is_synthetic
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,23.2201,116.1681,广东,PAH,,,,221.0,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,31.5585,120.7055,江苏,PAH,,,,386.68,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,31.5927,120.8815,上海,PAH,,,,4586.6,,,,,,,,,,,,1,1,1,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,32.9871,119.3324,安徽,PAH,,,,640.6,,,,,,,,,,,,1,1,1,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,39.2609,117.0564,天津,PAH,,,,471.3,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,39.3348,117.0298,天津,PAH,,,,619.86,,,,,,,,,,,,1,1,1,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,25.9595,119.4089,福建,PAH,,,,1295.79,,,,,,,,,,,,1,1,1,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,32.7662,110.5822,陕西,PAH,,,,180.0,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,31.3216,121.5527,上海,PAH,,,,480.28,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,39.7396,116.5085,北京,PAH,,,,41.3,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,37.8863,114.4134,内蒙古,PAH,,,,339.0,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,31.2793,121.6152,上海,PAH,,,,460.0,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,32.7954,119.3524,安徽,PAH,,,,42.42,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,30.6201,111.2244,湖北,PAH,,,,1970.0,,,,,,,,,,,,1,1,1,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,30.745,111.3918,湖北,PAH,,,,266.6,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,39.1289,117.3549,天津,PAH,,,,87.66,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,39.2253,117.0478,天津,PAH,,,,133.84,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,39.1645,117.3043,天津,PAH,,,,1082.8,,,,,,,,,,,,1,1,1,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,32.6475,117.0784,安徽,PAH,,,,6248.5,,,,,,,,,,,,1,1,1,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,43.811,126.5591,黑龙江,PAH,,,,932.0,,,,,,,,,,,,1,1,1,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,38.7632,121.4302,辽宁,PAH,,,,528.06,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,38.0946,114.2826,内蒙古,PAH,,,,589.9,,,,,,,,,,,,1,1,1,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,34.3434,108.8657,陕西,PAH,,,,2580.0,,,,,,,,,,,,1,1,1,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,31.3997,121.163,上海,PAH,,,,225.0,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,31.3322,121.4342,上海,PAH,,,,732.0,,,,,,,,,,,,1,1,1,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,28.9808,120.0415,浙江,PAH,,,,269.0,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,32.8345,119.3359,安徽,PAH,,,,484.0,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,36.9932,117.9019,河北,PAH,,,,278.0,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,31.4686,120.6734,江苏,PAH,,,,315.0,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
