paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_D3,BaA_ngg,0.24,Unknown,table_p8_ri11_ci7,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_D3,Chr_ngg,0.24,Unknown,table_p8_ri11_ci7,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_D3,BghiP_ngg,0.51,Unknown,table_p8_ri11_ci8,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_E1,Sum_PAH_ngg,1804.0,Unknown,table_p8_ri12_ci1,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_E1,Sum_PAH_ngg,1145.0,Unknown,table_p8_ri12_ci2,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_E1,Sum_PAH_ngg,659.0,Unknown,table_p8_ri12_ci3,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_E1,Sum_PAH_ngg,75.0,Unknown,table_p8_ri12_ci5,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_E1,OC_pct,75.0,Unknown,table_p8_ri12_ci5,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_E1,Sum_PAH_ngg,28.0,Unknown,table_p8_ri12_ci6,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_E1,OC_pct,28.0,Unknown,table_p8_ri12_ci6,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_E1,BaA_ngg,0.22,Unknown,table_p8_ri12_ci7,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_E1,Chr_ngg,0.22,Unknown,table_p8_ri12_ci7,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_E1,BghiP_ngg,0.49,Unknown,table_p8_ri12_ci8,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_E2,Sum_PAH_ngg,537.0,Unknown,table_p8_ri13_ci1,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_E2,Sum_PAH_ngg,371.0,Unknown,table_p8_ri13_ci2,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_E2,Sum_PAH_ngg,166.0,Unknown,table_p8_ri13_ci3,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_E2,Sum_PAH_ngg,46.0,Unknown,table_p8_ri13_ci5,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_E2,OC_pct,46.0,Unknown,table_p8_ri13_ci5,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_E2,Sum_PAH_ngg,14.0,Unknown,table_p8_ri13_ci6,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_E2,OC_pct,14.0,Unknown,table_p8_ri13_ci6,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_E2,BaA_ngg,0.26,Unknown,table_p8_ri13_ci7,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_E2,Chr_ngg,0.26,Unknown,table_p8_ri13_ci7,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_E2,BghiP_ngg,0.48,Unknown,table_p8_ri13_ci8,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_E3,Sum_PAH_ngg,487.0,Unknown,table_p8_ri14_ci1,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_E3,Sum_PAH_ngg,444.0,Unknown,table_p8_ri14_ci2,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_E3,Sum_PAH_ngg,44.0,Unknown,table_p8_ri14_ci3,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_E3,Sum_PAH_ngg,111.0,Unknown,table_p8_ri14_ci5,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_E3,Sum_PAH_ngg,10.0,Unknown,table_p8_ri14_ci6,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_E3,OC_pct,10.0,Unknown,table_p8_ri14_ci6,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_E3,BaA_ngg,0.37,Unknown,table_p8_ri14_ci7,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_E3,Chr_ngg,0.37,Unknown,table_p8_ri14_ci7,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_E3,BghiP_ngg,0.48,Unknown,table_p8_ri14_ci8,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_F1,Sum_PAH_ngg,444.0,Unknown,table_p8_ri15_ci1,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_F1,Sum_PAH_ngg,343.0,Unknown,table_p8_ri15_ci2,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
