site_id,Latitude,Longitude
2563,36.11,120.45
2568,24.64,110.64
2569,24.49,110.4
2570,23.92,109.28
2571,25.87,110.86
2577,30.54,114.25
2579,34.7,112.46
2580,25.82,113.14
2586,27.69,111.44
2595,44.15,87.89
2597,40.75,107.43
2600,36.05,103.89
2604,25.68,105.17
2613,27.02,106.04
2620,40.13333,116.43333
2621,39.91013,116.35841
2622,29.56241,106.53506
2623,29.3925,106.52839
2624,29.56749,106.54795
2625,25.67015,116.43009
2626,26.27987,117.636
2629,39.77477,98.28908
2631,23.95174,115.54076
2632,24.01558,115.48458
2633,22.6476,110.16089
2638,27.13065,104.72506
2639,27.12515,104.72712
2640,27.13095,104.73193
2649,34.36335,107.21531
2650,34.89945,108.94376
2651,28.75502,104.6433
2653,31.19959,121.50496
2654,35.91408,112.85077
2655,35.59172,112.52947
2658,30.13243,121.24253
2660,26.45398,99.41886
2662,25.72422,112.71765
2664,31.13173,104.40012
2666,36.7399,117.1458
2669,36.26128,120.34594
2671,31.21985,121.49346
2672,38.86105,110.48705
2673,35.12103,109.1009
2679,27.88318,113.0797
2680,45.75,126.78
2684,47.32,130.25
2691,37.03,111.91
2693,39.85,116.47
2694,39.98,116.28
2695,39.73,116.34
2696,39.91,116.66
2697,39.75,116.14
2698,40.13,116.66
2699,40.14,117.12
2700,40.46,115.97
2701,40.32,116.63
2702,40.37,116.84
2704,38.42,115.83
2707,36.88,116.26
2709,37.43,112.56
2711,37.41,112.63
2712,37.39,112.57
2713,37.43,112.52
2721,37.87,112.55
2722,37.74,112.57
2723,37.72,112.47
2724,37.61,112.36
2725,39.09,117.2
2727,39.33,117.83
2728,38.95,116.98
2729,39.72,117.31
2730,40.03,117.41
2731,39.38,117.05
2732,39.09,117.32
2733,39.23,117.14
2734,39.14,117.01
2736,30.93,117.81
2737,25.96,119.51
2738,26.09,119.56
2739,26.04,119.6
2740,26.09,119.37
2741,26.03,119.25
2744,25.97,119.51
2746,27.09,119.65
2747,26.08,119.3
2748,25.72,119.39
2749,25.45,119.01
2750,25.36,118.69
2752,23.96,117.34
2753,23.71,117.18
2754,24.49,117.95
2759,34.6,119.22
2760,33.96,118.27
2761,33.35,120.16
2762,33.61,119.01
2763,32.4,119.41
2766,31.3,120.59
2767,31.5,120.31
2770,27.97,116.36
2771,25.84,114.94
2772,28.39,114.78
2780,25.84,114.93
2782,35.42,119.53
2783,31.47,121.33
2784,31.41,121.34
2785,31.42,121.42
2786,31.35,121.4
2787,31.37,121.44
2788,31.29,121.42
2789,31.33,121.43
2791,31.46,121.13
2792,33.63,117.04
2793,36.65,117.12
2796,32.56,116.76
2797,32.95,117.16
2799,32.65,117.02
2800,32.96,117.28
2805,36.71,117.06
2806,36.94,116.64
2807,36.46,115.99
2808,36.2,117.09
2809,35.01,116.65
2810,24.51,117.65
2811,30.68,121.02
2815,24.35,114.13
2816,21.67,110.64
2817,20.92,110.1
2818,20.33,110.18
2819,21.38,110.25
2823,20.0,110.31
2829,32.55,111.51
2830,32.75,111.59
2831,31.08,109.89
2832,40.4,115.8
2833,40.53,116.94
2834,35.31,113.93
2835,34.72,111.1
2836,32.06,110.74
2840,30.57,112.88
2841,30.66,113.09
2844,36.73,104.82
2846,39.83,108.74
2847,42.94,119.0
2849,37.43,106.07
2851,34.16,108.22
2853,44.43,84.9
2854,43.98,81.53
2855,41.75,86.16
2857,43.84,81.15
2858,43.48,82.23
2859,43.43,83.26
2862,43.16,81.13
2863,38.47,106.29
2864,36.58,109.46
2865,35.99,109.38
2867,35.76,109.43
2868,35.77,109.44
2870,34.69,108.14
2872,35.19,109.94
2873,35.24,110.15
2874,34.52,107.4
2875,34.38,107.9
2876,34.9,108.95
2877,34.75,109.18
2878,34.54,110.25
2892,27.7,108.84
2897,30.08,103.85
2898,32.44,105.84
2899,28.75,104.64
2901,30.65,104.07
2902,29.55,103.77
2903,30.01,103.04
2905,29.34,104.78
2908,28.87,105.44
2909,29.91,107.24
